State,FIPS2,Year,Percent Obese (BMI >= 30),Percent Overweight (BMI 25.0 - 29.9),Neither overweight nor obese (BMI <= 24.9)
New York,36,2001,20.3,35.7,44
North Carolina,37,2001,22.9,35.9,41.2
North Dakota,38,2001,20.4,41.1,38.5
Ohio,39,2001,22.4,37.7,39.9
Oklahoma,40,2001,22.6,39,38.4
Oregon,41,2001,21.1,37.1,41.8
Pennsylvania,42,2001,22.1,38.3,39.6
Rhode Island,44,2001,17.7,38.3,44
South Carolina,45,2001,22.5,37.3,40.2
South Dakota,46,2001,21.2,38.3,40.5
Tennessee,47,2001,23.4,35.4,41.2
Texas,48,2001,24.6,36.7,38.7
Utah,49,2001,19.1,35.6,45.3
Vermont,50,2001,17.6,34.5,47.9
Virginia,51,2001,20.9,36.7,42.4
Washington,53,2001,19.3,36.7,44
West Virginia,54,2001,25.1,37.9,37
Wisconsin,55,2001,22.4,36.7,40.9
Wyoming,56,2001,19.7,36,44.3
Alabama,01,2002,25.7,37,37.3
Alaska,02,2002,23.4,37.7,38.9
Arizona,04,2002,19.6,36.6,43.8
Arkansas,05,2002,23.7,37.2,39.1
California,06,2002,19.2,37.5,43.3
Colorado,08,2002,16.5,37,46.5
Connecticut,09,2002,18,37,45
Delaware,10,2002,22.4,36.2,41.4
Florida,12,2002,19.4,37.6,43
Georgia,13,2002,23.5,35.4,41.1
Idaho,16,2002,20.2,37.1,42.7
Illinois,17,2002,21.9,37.3,40.8
Indiana,18,2002,24.1,37.2,38.7
Iowa,19,2002,22.9,38.3,38.8
Kansas,20,2002,22.8,37.4,39.8
Kentucky,21,2002,24.4,38.1,37.5
Louisiana,22,2002,25.5,35.6,38.9
Maine,23,2002,20.7,38,41.3
Maryland,24,2002,19.4,38.5,42.1
Massachusetts,25,2002,18.3,36.3,45.4
Michigan,26,2002,25.4,36.9,37.7
Minnesota,27,2002,22.4,36.5,41.1
Mississippi,28,2002,26.8,36.3,36.9
Missouri,29,2002,23.2,37,39.8
Montana,30,2002,18.7,37.9,43.4
Nebraska,31,2002,23.2,37,39.8
Nevada,32,2002,21.6,37.3,41.1
New Hampshire,33,2002,17.9,38.5,43.6
New Jersey,34,2002,19,37.3,43.7
New Mexico,35,2002,19.7,36.7,43.6
New York,36,2002,20.6,36.7,42.7
North Carolina,37,2002,23.5,35.5,41
North Dakota,38,2002,23.4,38.2,38.4
Ohio,39,2002,23,35.8,41.2
Oklahoma,40,2002,22.9,35.8,41.3
Oregon,41,2002,20.3,36.9,42.8
Pennsylvania,42,2002,23.9,35.6,40.5
Rhode Island,44,2002,18.5,37.6,43.9
South Carolina,45,2002,25.8,35.6,38.6
South Dakota,46,2002,21.2,39.4,39.4
Tennessee,47,2002,24.5,36.8,38.7
Texas,48,2002,25.5,37.3,37.2
Utah,49,2002,17.5,36.1,46.4
Vermont,50,2002,18.9,35.6,45.5
Virginia,51,2002,23.8,35.1,41.1
Washington,53,2002,21.3,37.7,41
West Virginia,54,2002,27.6,36.1,36.3
Wisconsin,55,2002,21.6,36.3,42.1
Wyoming,56,2002,19.5,36.4,44.1
Alabama,01,2003,28.4,34.8,36.8
Alaska,02,2003,23.5,37.2,39.3
Arizona,04,2003,20.1,37,42.9
Arkansas,05,2003,25.2,36.8,38
California,06,2003,23.2,36.2,40.6
Colorado,08,2003,16,35.4,48.6
Connecticut,09,2003,19.1,35.7,45.2
Delaware,10,2003,24,36.2,39.8
Florida,12,2003,19.9,38.7,41.4
Georgia,13,2003,25.2,35.4,39.4
Idaho,16,2003,21.8,37.2,41
Illinois,17,2003,23.7,37.4,38.9
Indiana,18,2003,26,35.7,38.3
Iowa,19,2003,23.9,37.7,38.4
Kansas,20,2003,22.6,37.8,39.6
Kentucky,21,2003,25.6,37.4,37
Louisiana,22,2003,24.8,36.3,38.9
Maine,23,2003,19.9,38.3,41.8
Maryland,24,2003,21.9,37.2,40.9
Massachusetts,25,2003,16.8,36.2,47
Michigan,26,2003,25.2,36.6,38.2
Minnesota,27,2003,23,38,39
Mississippi,28,2003,28.1,36.7,35.2
Missouri,29,2003,23.6,35.6,40.8
Montana,30,2003,18.8,38.1,43.1
Nebraska,31,2003,23.9,37,39.1
Nevada,32,2003,21.2,37.3,41.5
New Hampshire,33,2003,20.2,36.7,43.1
New Jersey,34,2003,20.1,37.2,42.7
New Mexico,35,2003,20.2,36.4,43.4
New York,36,2003,20.9,35.3,43.8
North Carolina,37,2003,24,37,39
North Dakota,38,2003,23.7,39.2,37.1
Ohio,39,2003,24.9,36,39.1
Oklahoma,40,2003,24.4,36.1,39.5
Oregon,41,2003,21.5,36.7,41.8
Pennsylvania,42,2003,23.8,36.3,39.9
Rhode Island,44,2003,18.4,38.5,43.1
South Carolina,45,2003,24.5,35.8,39.7
South Dakota,46,2003,22.9,37.3,39.8
Tennessee,47,2003,25,35.4,39.6
Texas,48,2003,24.6,36.9,38.5
Utah,49,2003,20.8,33.8,45.4
Vermont,50,2003,19.6,35.9,44.5
Virginia,51,2003,21.7,36,42.3
Washington,53,2003,21.7,36.8,41.5
West Virginia,54,2003,27.7,34,38.3
Wisconsin,55,2003,20.9,39.1,40
Wyoming,56,2003,20.1,37,42.9
Alabama,01,2004,28.8,35.8,35.4
Alaska,02,2004,23.7,38.9,37.4
Arizona,04,2004,21.2,34.9,43.9
Arkansas,05,2004,26.1,36.4,37.5
California,06,2004,22.2,38,39.8
Colorado,08,2004,16.8,36.2,47
Connecticut,09,2004,19.7,36.5,43.8
Delaware,10,2004,21.1,38.6,40.3
Florida,12,2004,22.9,36.9,40.2
Georgia,13,2004,24.7,34.7,40.6
Idaho,16,2004,20.8,37.4,41.8
Illinois,17,2004,23,36.5,40.5
Indiana,18,2004,25.5,36.7,37.8
Iowa,19,2004,23.5,37.4,39.1
Kansas,20,2004,23.2,37.5,39.3
Kentucky,21,2004,25.8,37.6,36.6
Louisiana,22,2004,26.9,35.7,37.4
Maine,23,2004,23.4,37.6,39
Maryland,24,2004,23.9,34.6,41.5
Massachusetts,25,2004,18.4,36.1,45.5
Michigan,26,2004,25.4,35.5,39.1
Minnesota,27,2004,22.6,37.7,39.7
Mississippi,28,2004,29.5,36.1,34.4
Missouri,29,2004,24.9,36.8,38.3
Montana,30,2004,19.7,37.3,43
Nebraska,31,2004,23.2,38.6,38.2
Nevada,32,2004,21.1,38.9,40
New Hampshire,33,2004,21.6,36.1,42.3
New Jersey,34,2004,21.9,37.8,40.3
New Mexico,35,2004,21.5,36.4,42.1
New York,36,2004,22.1,35.7,42.2
North Carolina,37,2004,24.2,37.1,38.7
North Dakota,38,2004,24.6,38.3,37.1
Ohio,39,2004,25.3,35.8,38.9
Oklahoma,40,2004,24.9,36.1,39
Oregon,41,2004,21.2,37.8,41
Pennsylvania,42,2004,24.3,36.8,38.9
Rhode Island,44,2004,19,37.1,43.9
South Carolina,45,2004,25.1,36.2,38.7
South Dakota,46,2004,23.8,38,38.2
Tennessee,47,2004,27.2,37,35.8
Texas,48,2004,25.8,37.2,37
Utah,49,2004,20.4,36.1,43.5
Vermont,50,2004,18.7,35.6,45.7
Virginia,51,2004,23.1,36.9,40
Washington,53,2004,22.2,36.2,41.6
West Virginia,54,2004,27.6,36.4,36
Wisconsin,55,2004,23.2,37.3,39.5
Wyoming,56,2004,20.8,37,42.2
Alabama,01,2005,28.9,35.6,35.5
Alaska,02,2005,27.4,36.8,35.8
Arizona,04,2005,21.1,35.1,43.8
Arkansas,05,2005,28,36.7,35.3
California,06,2005,22.7,37.9,39.4
Colorado,08,2005,17.8,36.7,45.5
Connecticut,09,2005,20.1,38.1,41.8
Delaware,10,2005,23.5,39.4,37.1
Florida,12,2005,22.8,37.9,39.3
Georgia,13,2005,26.5,36.4,37.1
Idaho,16,2005,24.5,36.8,38.7
Illinois,17,2005,25.1,35.7,39.2
Indiana,18,2005,27.2,35.1,37.7
Iowa,19,2005,25.4,37.1,37.5
Kansas,20,2005,23.9,36.9,39.2
